text,created,favoriteCount,retweetCount,arr_dt,bounded,severity,alerts_at_station_code
#RedLine experiencing minor delays due to an earlier disabled train at Andrew Station. #mbta,2016-02-22T13:17:45Z,0,0,2016-02-22T13:17:45Z,,1,"70083_Andrew - Outbound, 70084_Andrew - Inbound"
#RedLine (Ashmont branch) experiencing minor delays due to a signal problem at Shawmut Station #mbta,2016-02-22T13:56:17Z,0,0,2016-02-22T13:56:17Z,,1,"70091_Shawmut - Outbound, 70092_Shawmut - Inbound"
#RedLine experiencing minor southbound delays due to a medical emergency at Charles/MGH #mbta,2016-02-22T22:18:15Z,0,0,2016-02-22T22:18:15Z,southbound,0,"70073_Charles/MGH - Inbound, 70074_Charles/MGH - Outbound"
#RedLine experiencing minor delays due to a signal problem between Kendall/MIT and Charles/MGH #mbta,2016-02-24T13:56:07Z,0,0,2016-02-24T13:56:07Z,,1,
#RedLine experiencing minor southbound delays due to switch problem in the JFK area. #mbta,2016-02-24T15:00:51Z,0,0,2016-02-24T15:00:51Z,southbound,0,
#RedLine experiencing moderate delays due to a signal problem at Alewife #mbta,2016-02-24T20:35:17Z,0,0,2016-02-24T20:35:17Z,,2,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine experiencing moderate delays due to a signal problem at Alewife. #mbta,2016-02-24T22:59:20Z,0,0,2016-02-24T22:59:20Z,,2,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine experiencing minor northbound delays due to a signal problem near JFK/UMass Station. #mbta,2016-02-25T12:18:15Z,0,1,2016-02-25T12:18:15Z,northbound,0,
#RedLine experiencing minor northbound delays due to a disabled train. #mbta,2016-02-25T22:22:17Z,0,0,2016-02-25T22:22:17Z,northbound,0,
#RedLine experiencing moderate delays due to police action #mbta,2016-02-26T04:57:50Z,0,0,2016-02-26T04:57:50Z,,2,
Mattapan Trolley experiencing moderate delays due to a disabled train at Butler. #mbta,2016-02-26T21:53:19Z,0,0,2016-02-26T21:53:19Z,,2,
#RedLine experiencing moderate delays due to police action at Andrew. #mbta,2016-02-26T22:09:40Z,0,1,2016-02-26T22:09:40Z,,2,"70083_Andrew - Outbound, 70084_Andrew - Inbound"
#RedLine experiencing minor southbound delays due to disabled train #mbta,2016-02-27T06:31:13Z,0,0,2016-02-27T06:31:13Z,southbound,0,
#RedLine experiencing minor northbound delays due to police action at Downtown Crossing #mbta,2016-02-27T17:56:02Z,0,0,2016-02-27T17:56:02Z,northbound,0,
#RedLine Ashmont branch experiencing minor southbound delays #mbta,2016-02-28T20:48:23Z,0,0,2016-02-28T20:48:23Z,southbound,0,
#RedLine experiencing minor southbound delays due to a track problem at Alewife #mbta,2016-02-28T21:45:57Z,0,0,2016-02-28T21:45:57Z,southbound,0,
#RedLine experiencing minor delays due to a track problem at Alewife #mbta,2016-02-28T22:30:40Z,0,0,2016-02-28T22:30:40Z,,1,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine experiencing minor in both directions delays due to an earlier track problem at Alewife #mbta,2016-02-28T23:26:34Z,0,0,2016-02-28T23:26:34Z,northbound_and_southbound,0,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine experiencing moderate delays due to a switch problem at Alewife #mbta,2016-03-01T00:02:47Z,0,0,2016-03-01T00:02:47Z,,2,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine experiencing minor delays due to an earlier switch problem at Alewife #mbta,2016-03-01T00:39:20Z,0,0,2016-03-01T00:39:20Z,,1,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
